javascript,JavaScriptとは、プログラミング言語のひとつである。Javaと名前が似ているが、異なるプログラミング言語である。オブジェクト指向のスクリプト言語であることを特徴とする。実行環境が主にウェブブラウザに実装され、動的なウェブサイト構築や、リッチインターネットアプリケーションなど高度なユーザインタフェースの開発に用いられる。
swift,Swiftとは、iOS・OS X開発のためにAppleが開発したプログラム言語である。Objective-CやObjective-C++、C言語と共存することも考慮されており、比較的スムーズに移行できるとされている。Playgroundsやターミナル上でインタラクティブにデバッグする事が可能。また、LLVMコンパイラを利用することで、ライブコーディングにも対応している。
ios,iOSはAppleが開発したiPhone、iPod touch、iPadそしてApple TV (第二世代以降) などのモバイルデバイス用のオペレーティングシステムです。大部分はOS Xと共通ですが、iOSはタッチベースのインタフェースに最適化されています。
python,Python(パイソン)とは、コードの視認性を高められるように設計されたスクリプト言語。スクリプト言語ではあるが、サードパーティ製のツールを使うことで、スタンドアローンの実行ファイルを作成することも出来る。基本的な構文はCやC++を参考にしており、ABC言語のようなインデント構文を採用している。
android,AndroidはGoogleが開発しているデジタル機器(スマートフォン、タブレット、自動車、TV、時計)向けのOSです。Android固有の質問では、Android用のタグを使用してください。(例えば、intentではなくandroid-intentを使います)
ruby-on-rails,Ruby on RailsはRubyで書かれたオープンソースのWebアプリケーションフレームワークです。CoC (設定より規約)の指針にしたがって設計されていて、一般的な規約に従うことでWebアプリケーションを高速に開発することができるようになっています。
php,PHPはWeb開発において、多様な目的で広く利用されるオープンソースのスクリプト言語です。
java,Javaは、オブジェクト指向プログラミング言語の1つ。Javaで開発されたアプリケーションはJava仮想マシンの中で動作するため、アプリケーション自体はプラットフォームに依存せず動作することが出来る。その汎用性は、PC・携帯電話・スマートフォン・サーバマシン・Webブラウザなど多岐にわたる。
ruby,Rubyはマルチプラットフォームで動作するオブジェクト指向のインタプリタ言語。1993年にまつもとゆきひろ氏(Matz)が開発した。
c#,C#は、マイクロソフトが開発したマルチパラダイムプログラミング言語です
monaca,Monacaは、Cordovaを内包したHTML5ハイブリッドアプリ開発プラットフォームです。HTML5でマルチプラットフォーム対応のモバイルアプリ開発が行えます。
xcode,Xcode自身の使い方・設定に関する質問で使うタグ。Mac/iOSプログラミングに関する質問につける必要はありません。Xcodeはソフトウェアを開発するためのアップルの統合開発環境(IDE)であり、OS Xで動作する。
html,HTML（エイチティーエムエル）とは、ウェブ上の文書を記述するためのマークアップ言語である。文章の中に記述することでさまざまな機能を記述設定することができる。
